movie_odid,display_name,release_date,territory,release_pattern,distributor
250100,The Lord of the Rings: The Fellowship of the Ring,2017-01-10,South Korea,Wide,
260100,Star Wars Ep. II: Attack of the Clones,2002-05-16,North America,Wide,20th Century Fox
270100,Pirates of the Caribbean: At World’s End,2007-05-24,North America,Wide,Walt Disney
280100,Star Wars Ep. VI: Return of the Jedi,1983-05-25,North America,Wide,20th Century Fox
280100,Star Wars Ep. VI: Return of the Jedi,1985-03-29,North America,Wide,20th Century Fox
280100,Star Wars Ep. VI: Return of the Jedi,1997-03-14,North America,Wide,20th Century Fox
300100,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,North America,Wide,Walt Disney
310100,Harry Potter and the Half-Blood Prince,2009-07-15,Australia,Wide,
310100,Harry Potter and the Half-Blood Prince,2009-07-15,North America,Wide,Warner Bros.
310100,Harry Potter and the Half-Blood Prince,2009-07-15,North America,IMAX,Warner Bros.
310100,Harry Potter and the Half-Blood Prince,2016-10-28,Russia (CIS),Wide,
310100,Harry Potter and the Half-Blood Prince,2018-09-02,North America,Limited,
320100,The Sixth Sense,1999-08-06,North America,Wide,Walt Disney
330100,Harry Potter and the Order of the Phoenix,2007-07-11,Australia,Wide,
330100,Harry Potter and the Order of the Phoenix,2007-07-11,North America,Wide,Warner Bros.
330100,Harry Potter and the Order of the Phoenix,2007-07-11,North America,IMAX,Warner Bros.
330100,Harry Potter and the Order of the Phoenix,2007-07-20,Lithuania,Wide,
330100,Harry Potter and the Order of the Phoenix,2016-10-21,Lithuania,Limited,
330100,Harry Potter and the Order of the Phoenix,2016-10-28,Russia (CIS),Wide,
330100,Harry Potter and the Order of the Phoenix,2018-09-02,North America,Limited,
340100,Up,2009-05-28,Australia,Wide,
340100,Up,2009-05-29,North America,Wide,Walt Disney
340100,Up,2009-07-29,South Korea,Wide,
340100,Up,2015-03-21,Australia,Wide,
350100,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-09,North America,Wide,Walt Disney
360100,Star Wars Ep. V: The Empire Strikes Back,1980-05-20,United Kingdom,Wide,
360100,Star Wars Ep. V: The Empire Strikes Back,1980-05-21,North America,Wide,20th Century Fox
360100,Star Wars Ep. V: The Empire Strikes Back,1981-07-31,North America,Wide,20th Century Fox
360100,Star Wars Ep. V: The Empire Strikes Back,1982-11-19,North America,Wide,20th Century Fox
360100,Star Wars Ep. V: The Empire Strikes Back,1997-02-21,North America,Wide,20th Century Fox
360100,Star Wars Ep. V: The Empire Strikes Back,2015-07-24,United Kingdom,Limited,
370100,Harry Potter and the Goblet of Fire,2005-11-18,North America,Wide,Warner Bros.
370100,Harry Potter and the Goblet of Fire,2005-11-18,North America,IMAX,Warner Bros.
370100,Harry Potter and the Goblet of Fire,2005-12-02,Lithuania,Wide,
370100,Harry Potter and the Goblet of Fire,2016-10-21,Lithuania,Limited,
370100,Harry Potter and the Goblet of Fire,2016-10-28,Russia (CIS),Wide,
370100,Harry Potter and the Goblet of Fire,2018-09-02,North America,Limited,
390100,The Matrix Reloaded,2003-05-15,North America,Wide,Warner Bros.
400100,Meet the Fockers,2004-12-22,North America,Wide,Universal
410100,The Hangover,2009-06-05,North America,Wide,Warner Bros.
420100,Shrek,2001-05-18,North America,Wide,Dreamworks SKG
430100,Harry Potter and the Chamber of Secrets,2002-11-15,North America,Wide,Warner Bros.
430100,Harry Potter and the Chamber of Secrets,2002-12-13,South Korea,Wide,
430100,Harry Potter and the Chamber of Secrets,2016-10-21,Russia (CIS),Special Engagement,
430100,Harry Potter and the Chamber of Secrets,2018-09-02,North America,Limited,
440100,The Incredibles,2004-10-22,Australia,Wide,
440100,The Incredibles,2004-11-05,North America,Wide,Walt Disney
440100,The Incredibles,2004-12-24,New Zealand,Wide,
440100,The Incredibles,2015-02-28,Australia,Limited,
450100,How the Grinch Stole Christmas,2000-11-17,North America,Wide,Universal
460100,Jaws,1975-06-20,North America,Wide,Universal
460100,Jaws,2015-06-21,North America,Special Engagement,Fathom Events
470100,Star Trek,2009-05-08,North America,Wide,Paramount Pictures
470100,Star Trek,2009-08-05,North America,IMAX,Paramount Pictures
470100,Star Trek,2013-05-15,North America,Special Engagement,Regal Entertainment
480100,I am Legend,2007-12-14,North America,Wide,Warner Bros.
480100,I am Legend,2007-12-14,North America,IMAX,Warner Bros.
490100,"Monsters, Inc.",2001-11-02,North America,Wide,Walt Disney
490100,"Monsters, Inc.",2012-12-19,North America,Wide,Walt Disney
510100,Night at the Museum,2006-12-22,North America,Wide,20th Century Fox
510100,Night at the Museum,2006-12-22,North America,IMAX,20th Century Fox
520100,Men in Black,1997-07-01,North America,Wide,Sony Pictures
530100,Harry Potter and the Prisoner of Azkaban,2004-06-04,North America,Wide,Warner Bros.
530100,Harry Potter and the Prisoner of Azkaban,2004-06-04,North America,IMAX,Warner Bros.
530100,Harry Potter and the Prisoner of Azkaban,2004-06-04,Russia (CIS),Wide,
