movie_odid,display_name,release_date,territory,release_pattern,distributor
98440100,Gendernauts,2000-02-04,North America,Wide,
98450100,Red Roses and Petrol,2008-06-27,North America,Exclusive,World Wide Motion Pictures
98460100,Saving Shiloh,2006-05-12,North America,Limited,Rocky Mountain Pictures
98470100,Tekkon Kinkreet,2007-07-13,North America,Limited,
98480100,Where's Marlowe,1999-11-12,North America,Wide,Paramount Vantage
98490100,The Restless,2006-12-20,South Korea,Wide,
98490100,The Restless,2008-11-21,North America,Limited,CJ Entertainment
98500100,The Grace Lee Project,2005-12-16,North America,Limited,Women Make Movies
98510100,Fast Pitch,2000-08-23,North America,Wide,
98520100,The Dogwalker,2002-09-13,North America,Wide,Outrider Pictures
98530100,Prince of Central Park,2000-09-22,North America,Wide,
98540100,The Underground,1999-03-31,North America,Wide,
98550100,Bullrider,2006-04-21,North America,Limited,Emerging Pictures
98560100,The Suburbans,1999-10-29,North America,Limited,Sony Pictures
98570100,La chambre des magiciennes,2001-02-09,North America,Wide,
98580100,Choose Connor,2008-10-10,North America,Limited,Strand
98590100,Inséparables,2000-07-28,North America,Wide,
98600100,El Método,2007-07-06,North America,Limited,Palm Pictures
98610100,Jailbait,2006-08-04,North America,Limited,Kindred Media Group
98620100,Fraulein,2008-09-19,North America,Limited,Film Movement
98630100,Mr. Blue Sky,2007-11-09,North America,Limited,Rocky Mountain Pictures
98640100,Kill Me Later,2001-09-14,North America,Wide,
98650100,Christmas on Mars,2008-09-12,North America,Limited,Self Distributed
98660100,Lake Tahoe,2009-07-10,North America,Limited,Film Movement
98670100,The Last Cigarette,1999-06-09,North America,Wide,New Yorker
98680100,Fired!,2007-02-02,North America,Limited,International Film Circuit
98690100,El Sueno del Regreso,2006-03-10,North America,Limited,Aloha Releasing
98700100,Floating,1999-09-03,North America,Wide,Phaedra Cinema
98710100,The Roost,2005-10-21,North America,Limited,Vitagraph Films
98730100,Spinning into Butter,2009-03-27,North America,Limited,Screen Media Films
98740100,Les convoyeurs attendent,2000-03-15,North America,Wide,Samuel Goldwyn Films
98750100,Insidious,2008-05-23,North America,Exclusive,Romantic Troubadour Entertainment
98760100,The Winners,1999-01-20,North America,Wide,First Run Features
98770100,Lalee's Kin: Legacy of Cotton,2001-06-22,North America,Wide,
98780100,La Question Humaine,2008-03-14,North America,Exclusive,New Yorker
98790100,Sparkler,1999-03-19,North America,Wide,Strand
98800100,It's All About Love,2004-10-29,North America,Limited,Strand
98820100,The Bride & The Grooms,2009-04-24,North America,Limited,Sumbadhat Productions
98830100,Choking Man,2007-11-09,North America,Exclusive,International Film Circuit
98840100,Race You to the Bottom,2007-03-30,North America,Limited,Regent Releasing
98850100,Nights and Weekends,2008-10-10,North America,Limited,IFC Films
98860100,Hatsujô kateikyôshi: sensei no aijiru,2007-04-13,North America,Limited,Palm Pictures
98870100,Condo Painting,2000-03-10,North America,Limited,
98880100,Wildflowers,2000-09-01,North America,Wide,
98890100,Say Uncle,2006-06-23,North America,Limited,TLA Releasing
98900100,Hair High,2006-08-04,North America,Limited,Plymptoons
98910100,What Goes Up,2009-05-29,North America,Limited,
98920100,Land of the Blind,2006-06-16,North America,Exclusive,Bauer Martinez
98930100,Khon fai bin,2007-07-06,North America,Limited,Magnolia Pictures
98940100,Room,2006-04-06,North America,Limited,The 7th Floor
98950100,A Lawyer Walks into a Bar,2008-02-29,North America,Limited,Indican Pictures
98960100,King Leopold's Ghost,2006-08-18,North America,Limited,Aloha Releasing
98970100,Lakeboat,2001-04-13,North America,Wide,
98980100,Dhoondte Reh Jaoge,2009-03-06,North America,Limited,UTV Communications
98990100,Babymother,2000-03-17,North America,Limited,Fine Line
99000100,The Inner Life of Martin Frost,2007-09-07,North America,Exclusive,New Yorker
99010100,Jazz in the Diamond District,2009-04-24,North America,Limited,Truly Indie
99030100,God and Gays: Bridging the Gap,2008-10-24,North America,Limited,Indican Pictures
99040100,The Wetonkawa Flash,2002-03-08,North America,Wide,Indican Pictures
99050100,The James Gang,1997-11-07,North America,Wide,Polygram
99060100,Vig,1998-12-04,North America,Wide,
99120100,Music From Another Room,1998-04-24,North America,Wide,Orion Pictures
99130100,Heaven's Burning,1998-04-03,North America,Wide,
99140100,Follow Me Home,1997-02-28,North America,Wide,
99160100,Best Men,1997-10-17,North America,Wide,Orion Pictures
99190100,Getting to Know You,1999-01-22,North America,Wide,
99200100,Harvest,1999-03-12,North America,Wide,
99210100,The Call of the Wild: Dog of the Yukon,1997-01-12,North America,Wide,
99220100,Jerusalem,1997-03-07,North America,Wide,First Look
99230100,At Sachem Farm,1999-06-05,North America,Wide,Distributor Unknown
99240100,Notes from Underground,1998-03-06,North America,Limited,Northern Arts Entertainment
99250100,Giving It Up,1999-01-17,North America,Wide,Lionsgate
99260100,Kiss and Tell,1997-10-17,North America,Wide,Phaedra Cinema
99270100,Un divan à New York,1996-02-21,Belgium,Wide,
99270100,Un divan à New York,1997-11-17,North America,Limited,
99280100,Guy,1997-12-17,North America,Wide,Gramercy
99300100,Lewis & Clark & George,1997-10-04,North America,Wide,
99310100,Underworld,1997-05-09,North America,Wide,Trimark
99320100,The Leading Man,1998-03-06,North America,Wide,Northern Arts Entertainment
99330100,Tollbooth,1997-06-06,North America,Wide,
99340100,Gray's Anatomy,1997-03-19,North America,Wide,Northern Arts Entertainment
99350100,Love Walked In,1998-02-20,North America,Wide,Sony/TriStar
99400100,Legal Deceit,1997-11-18,North America,Wide,
99410100,Sinbad: Beyond the Veil of Mists,2000-03-24,North America,Limited,Phaedra Cinema
99420100,Dream for an Insomniac,1998-06-19,North America,Wide,Avalanche Releasing
99440100,Cadillac Ranch,1997-04-11,North America,Wide,Legacy Releasing
99480100,Carla's Song,1997-05-15,North America,Wide,Shadow
99530100,Repulsion,1997-09-19,North America,Wide,
99550100,Grind,1997-04-11,North America,Wide,Castle Hill Productions
99580100,Unforgotten: Twenty-Five Years After Willowbrook,1997-02-14,North America,Wide,Castle Hill Productions
99590100,Inside,1997-01-10,North America,Wide,
99620100,The Long Way Home,1997-09-19,North America,Wide,Seventh Art Releasing
99630100,Breaking Up,1997-10-17,North America,Wide,Warner Bros.
99650100,The Price of Sugar,2007-09-28,North America,Exclusive,Mitropoulos Films
99660100,This is the Sea,1998-12-28,North America,Wide,
99670100,Drunks,1997-03-14,North America,Wide,Northern Arts Entertainment
99680100,Phoenix,1998-09-04,North America,Wide,Trimark
99690100,Chicago Cab,1998-09-11,North America,Wide,Castle Hill Productions
99700100,The Deli,1997-11-07,North America,Wide,
99790100,Raven,1997-10-14,North America,Wide,
99830100,The Grimm Brothers' Snow White,1997-08-24,North America,Wide,Gramercy
99870100,Frankenstein and Me,1997-02-09,North America,Wide,Trimark
99910100,Daytime Drinking,2009-06-05,North America,Limited,Eleven Arts
99920100,Reach the Rock,1998-10-16,North America,Wide,Gramercy
99930100,"Peace, Propaganda and the Promised Land",2005-01-28,North America,Limited,Arab Film Distribution
99940100,With All Deliberate Speed,2004-05-14,North America,Limited,CameraPlanet/Discovery
99950100,Everything's Cool: A Toxic Comedy About Global Warming,2007-11-23,North America,Limited,City Lights Pictures
99960100,Le Faute a Voltaire,2001-06-22,North America,Wide,
99970100,Followers,2000-10-13,North America,Limited,
99980100,Le Pique-nique de Lulu Kreutz,2000-09-22,North America,Wide,
99990100,High Times' Potluck,2003-10-17,North America,Limited,
100000100,Streets of Legend,2005-11-23,North America,Exclusive,Lionsgate
100010100,The Pusher Trilogy,2006-08-18,North America,Limited,Magnolia Pictures
100020100,50 Ways of Saying Fabulous,2006-06-02,North America,Limited,Olive Films
100030100,Street Fight,2006-02-22,North America,Limited,Frontier
100040100,Akarui mirai,2004-11-12,North America,Wide,Palm Pictures
100050100,Tre,2008-02-01,North America,Limited,Cinema Libre
100060100,Stealing America: Vote by Vote,2008-08-01,North America,Exclusive,Direct Cinema Ltd
100070100,La Debandade,2000-07-14,North America,Wide,
100080100,Mutant Chronicles,2009-04-24,North America,Limited,Magnolia Pictures
100090100,My Big Fat Independent Movie,2005-09-30,North America,Limited,Big Fat Movies
100100100,Red,2008-08-08,North America,Exclusive,Magnolia Pictures
100110100,The Death Factory Bloodletting,2009-05-15,North America,Limited,Nocturnal Features
100120100,The Mating Habits of the Earthbound Human,1999-10-08,North America,Wide,
100130100,The Fall of Fujimori,2006-05-05,North America,Limited,Cinema Libre
100140100,San taam,2008-07-18,North America,Exclusive,IFC Films
100150100,Emile,2005-02-04,North America,Limited,Castle Hill Productions
100160100,Varian's War,2001-06-08,North America,Wide,
100170100,Men Cry Bullets,1999-10-08,North America,Wide,Phaedra Cinema
100180100,"Blood, Friends and Money",2000-09-22,North America,Wide,
100190100,The Tollbooth,2006-02-03,North America,Limited,Castle Hill Productions
100200100,Hamlet,2001-08-17,North America,Wide,
100210100,Das Haus der schlafenden Schönen,2008-11-14,North America,Limited,First Run Features
100220100,Death of a Ghost Hunter,2009-06-12,North America,Limited,Nocturnal Features
100230100,Kira's Reason: A Love Story,2003-01-17,North America,Limited,
100240100,Looking for Kitty,2006-09-01,North America,Limited,ThinkFilm
100250100,"Five Wives, Three Secretaries and Me",1999-10-08,North America,Wide,Castle Hill Productions
100260100,Pusher,1999-05-07,North America,Wide,First Run Features
100270100,Cowboy Del Amor,2006-02-10,North America,Limited,Emerging Pictures
100280100,Isn't This a Time! A Tribute Concert for Harold Leventhal,2005-12-09,North America,Limited,Seventh Art Releasing
100290100,Pups,2000-03-31,North America,Wide,
100300100,Coffee Date,2006-11-10,North America,Limited,Slowhand Cinema
100310100,Sacred Stage,2005-10-07,North America,Limited,First Run Features
100320100,Blood and Tears,2007-06-15,North America,Limited,ThinkFilm
100330100,Twisted: A Balloonamentary,2008-05-23,North America,Limited,"Eliot Lives Productions, LLC"
100340100,McLibel,2005-06-10,North America,Limited,Cinema Libre
100350100,My Brother's Wedding,2007-09-14,North America,Limited,Milestone
100360100,Poisoned by Polonium: Litvinenko File,2008-03-21,North America,Exclusive,Kino International
100370100,"Romulus, My Father",2008-02-29,North America,Exclusive,Magnolia Pictures
100380100,Slow Jam King,2006-06-09,North America,Limited,Unico Entertainment
100390100,Yuki Ni Negau Koto,2007-06-01,North America,Limited,Eleven Arts
100400100,Perlasca,2005-04-15,North America,Limited,Castle Hill Productions
100410100,Sueño,2005-09-30,North America,Limited,Sony Pictures
100420100,Melvin Goes to Dinner,2003-11-14,North America,Limited,
100430100,En soap,2006-10-27,North America,Limited,Strand
100440100,The Californians,2005-10-21,North America,Limited,Fabrication Films
100450100,Herapuple,2002-09-27,North America,Limited,
100460100,Raising Flagg,2007-02-02,North America,Limited,Cinema Libre
100460100,Raising Flagg,2007-09-28,North America,Limited,Cinema Libre
100470100,Solar Flare,2008-06-06,North America,Exclusive,Regent Releasing
100480100,Louisa May Alcott's Little Men,1998-05-08,North America,Wide,Legacy Releasing
100490100,Bob Funk,2009-02-27,North America,Limited,Cinema Epoch
100500100,Vexille,2008-02-14,North America,Exclusive,The Bigger Picture
100510100,Heavy Metal in Baghdad,2008-05-23,North America,Limited,Arts Alliance America
100520100,Fever,2001-02-02,North America,Wide,
100530100,Dolls,2004-12-10,North America,Limited,Palm Pictures
100540100,Bandido,2004-12-10,North America,Limited,IFG
100550100,Pizza,2006-01-20,North America,Limited,IFC Films
100560100,And Baby Makes 2,1999-06-25,North America,Wide,First Run Features
100570100,Simon,2006-04-07,North America,Exclusive,Strand
100580100,Outta Time,2002-04-12,North America,Wide,
100590100,I Remember Me,2001-11-09,North America,Wide,
100600100,The Marc Pease Experience,2009-08-21,North America,Limited,Paramount Vantage
100610100,Psychopathia Sexualis,2006-06-08,North America,Limited,Kino International
100620100,Intern,2000-08-11,North America,Limited,
100630100,Jersey Guy,2003-04-25,North America,Limited,
100640100,"The Cop, the Criminal and the Clown",2007-04-06,North America,Limited,Lonely Seal Releasing
100650100,Sunset Strip,2000-08-11,North America,Limited,20th Century Fox
100660100,Going Under,2006-06-14,North America,Limited,Argot Pictures
100670100,Where God Left His Shoes,2008-12-12,North America,Limited,IFC Films
100680100,The Last Man,2002-02-15,North America,Wide,
100690100,Out of Place: Memories of Edward Said,2006-10-13,North America,Limited,First Run/Icarus
100700100,Genghis Khan: To the Ends of the Earth and Sea,2008-02-21,North America,Limited,The Bigger Picture
100710100,Swenkas,2005-11-09,North America,Limited,Seventh Art Releasing
100720100,Pontypool,2009-05-29,North America,Limited,IFC Films
100730100,Camille,2008-11-14,North America,Limited,A-Mark Entertainment
100740100,Innocence and Experience: The Making of ‘The Age of Innocence’,2005-01-21,North America,Limited,Kino International
100750100,Gaudi Afternoon,2003-03-21,North America,Limited,
100760100,Saints and Sinners,2004-06-18,North America,Wide,Avatar
100770100,Dead or Alive,2001-06-08,North America,Wide,
100780100,Sandstorm,2003-08-08,North America,Limited,
100790100,Senorita Extraviada,2003-02-21,North America,Wide,
100800100,Open My Heart,2004-12-17,North America,Limited,Strand
100820100,Shock to the System,2006-08-04,North America,Limited,Regent Releasing
100830100,Coming Soon,2000-05-12,North America,Wide,
100840100,"Forget Baghdad: Jews and Arabs, The Iraqi Connection",2003-12-05,North America,Limited,Arab Film Distribution
100850100,Duze zwierze,2004-02-20,North America,Limited,
100860100,Dog Run,2001-10-19,North America,Wide,
100870100,This Divided State,2005-07-22,North America,Limited,Minority Films
100880100,The Helix…Loaded,2005-03-18,North America,Limited,Romar
100900100,Suits,1999-09-24,North America,Wide,
100920100,Dr. Benny,2003-05-02,North America,Limited,Outrider Pictures
100930100,My Wife Maurice,2004-08-27,North America,Limited,TLA Releasing
100940100,Go Now!,1998-05-01,North America,Wide,Gramercy
100950100,Hugo Pool,1997-12-12,North America,Wide,Northern Arts Entertainment
100960100,Cock Fight,2004-02-13,North America,Limited,
100970100,I'm Reed Fish,2007-06-01,North America,Limited,Screen Media Films
100980100,Gooby,2009-04-17,North America,Limited,Monterey Media
100990100,Death Defying Acts,2008-07-11,North America,Limited,Weinstein Co.
101000100,Rage: 20 Years of West Coast Punk,2001-06-08,North America,Wide,
101020100,Vivere,2008-02-29,North America,Exclusive,Regent Releasing
101030100,The Price of Air,2000-09-29,North America,Wide,
101040100,Moon Shadow,2000-12-01,North America,Wide,
101050100,Little Boy Blue,1998-05-29,North America,Wide,Castle Hill Productions
101060100,Revolution O/S,2002-08-22,North America,Wide,
101070100,Nothing But the Truth,2008-12-19,North America,Wide,Yari Film Group Releasing
101070100,Nothing But the Truth,2015-08-07,Italy,Wide,
101080100,Dragon and the Hawk,2000-03-10,North America,Wide,
101090100,No One Sleeps,2001-05-25,North America,Wide,
101100100,"L'Chayim, Comrade Stalin!",2003-01-31,North America,Wide,
101110100,Home Room,2003-09-05,North America,Limited,
101120100,Commune,2006-05-05,North America,Limited,Five Points Media
101130100,Sure Shot Dombrowski,2007-11-25,North America,Limited,
101140100,Fraude,2008-10-10,North America,Limited,Maya Releasing
101150100,Poor White Trash,2000-12-01,North America,Limited,
101160100,The Painting,2005-01-28,North America,Limited,Castle Hill Productions
101170100,The Quarry,2000-01-21,North America,Wide,First Run Features
101180100,Hit Me,1998-10-02,North America,Wide,Castle Hill Productions
101190100,Unnatural and Accidental,2006-12-01,North America,Limited,Alliance Films
101200100,Strawberry Fields,1999-06-04,North America,Wide,Phaedra Cinema
101220100,A Hole in My Heart,2005-04-08,North America,Limited,Newmarket Films
101230100,Daratt,2007-04-06,North America,Limited,ArtMattan Productions
101240100,Iris Blonde,1999-05-14,North America,Wide,Miramax
101250100,Knockin' on Heaven's Door,2000-04-21,North America,Wide,
101260100,Flash Point,2008-03-14,North America,Limited,Third Rail
101270100,Brothers in Arms,2004-08-27,North America,Limited,First Run Features
101280100,I Love Your Work,2005-11-04,North America,Limited,ThinkFilm
101290100,When Love Comes,1999-06-25,North America,Wide,
101300100,Wonderful Town,2008-07-18,North America,Exclusive,Kino International
101310100,"Congo: White King, Red Rubber, Black Death",2005-10-21,North America,Limited,ArtMattan Productions
101320100,The Backyard,2003-08-29,North America,Limited,
101330100,95 Miles to Go,2006-04-07,North America,Limited,ThinkFilm
101340100,Twilight: Los Angeles,2000-09-27,North America,Wide,
101350100,Tinseltown,1999-01-22,North America,Wide,MGM
101360100,Sandstorm,2009-09-04,North America,Limited,Self Distributed
101370100,Caravaggio,2002-04-16,North America,Wide,Zeitgeist
101380100,American Zombie,2008-03-28,North America,Exclusive,Cinema Libre
101400100,Who Does She Think She Is?,2008-10-17,North America,Limited,Artistic License
101410100,Brown's Requiem,2000-02-25,North America,Wide,Avalanche Releasing
101420100,Storefront Hitchcock,1998-11-20,North America,Wide,MGM
101430100,Ordinary Sinner,2003-02-14,North America,Wide,
101440100,George Bush Goes to Heaven,2006-08-15,North America,Limited,HB Filmworks
101450100,Los Muertos,2007-04-06,North America,Limited,Facets
101460100,Unveiled,2005-11-18,North America,Limited,Wolfe Releasing
101480100,Stolen Childhoods,2005-05-20,North America,Limited,Balcony Releasing
101490100,Run For Your Life,2008-10-31,North America,Limited,Screen Media Films
101500100,Wetlands Preserved: The Story of an Activist Rock Club,2008-03-14,North America,Exclusive,First Run Features
101520100,Dog Lover's Symphony,2006-06-16,North America,Limited,Self Distributed
101530100,Ash Wednesday,2002-10-11,North America,Limited,Focus Features
101540100,The Boys,1999-10-15,North America,Wide,Stratosphere Entertainment
101550100,Turn the River,2008-05-09,North America,Exclusive,Screen Media Films
101560100,Malon 9 Kochavim,2007-05-23,North America,Limited,Koch Lorber Films
101570100,"On the Other Hand, Death: A Donald Strachey Mystery",2008-07-18,North America,Exclusive,Regent Releasing
101580100,Split Decision,2001-02-09,North America,Wide,
101590100,Les Courts Metrages de Kieslowski,2001-06-29,North America,Wide,
101600100,Alien Autopsy,2006-09-22,North America,Limited,Warner Independent
101610100,Shrooms,2008-02-01,North America,Exclusive,Magnolia Pictures
101620100,Funny Money,2007-01-26,North America,Limited,ThinkFilm
101640100,Secret Society,2002-06-07,North America,Wide,
101650100,Lower Learning,2008-10-10,North America,Limited,Anchor Bay Entertainment
101660100,Gogol Bordello Non-Stop,2009-09-11,North America,Limited,Lorber Films
101670100,The New Eve,2000-05-05,North America,Wide,
101680100,Devil Girl,2009-09-18,North America,Limited,Nocturnal Features
101700100,Warrior of Light,2003-09-12,North America,Limited,
101710100,How to Draw a Bunny,2004-03-12,North America,Limited,
101720100,Traître ou patriote,2000-09-22,North America,Wide,
101730100,Close-Up,1999-12-31,North America,Wide,
101740100,Kicking It,2008-06-13,North America,Limited,
101750100,The Life and Times of Allen Ginsberg,2004-08-20,North America,Limited,New Yorker
101760100,Slaves of Hollywood,1999-10-29,North America,Wide,
101770100,The Last of the High Kings,1998-04-10,North America,Wide,Miramax
101780100,Calvaire,2006-08-11,North America,Limited,Palm Pictures
101790100,My Kingdom,2002-12-06,North America,Limited,
101800100,Summercamp!,2007-07-18,North America,Limited,Argot Pictures
101810100,Conspiracy of Silence,2004-12-03,North America,Limited,Watch Releasing
101810100,Conspiracy of Silence,2016-05-19,Mexico,Wide,
101820100,On Hostile Ground,2001-04-06,North America,Wide,
101830100,Stella Street,2004-10-22,North America,Wide,Strand
101840100,Tell Me Something,2001-09-21,North America,Wide,
101850100,The First $20 Million,2002-06-28,North America,Wide,20th Century Fox
101860100,Niwemang,2007-12-14,North America,Exclusive,Strand
101870100,Risk/Reward,2004-02-27,North America,Limited,
101880100,Swing,2004-06-18,North America,Limited,RMH Media/Dominion Entertainment
101890100,Rat,2001-04-20,North America,Wide,
101900100,Believe,2007-04-20,North America,Limited,Kaleidoscope Pictures
101910100,The Prisoner or: How I Planned to Kill Tony Blair,2007-03-23,North America,Exclusive,
101920100,Standing by Yourself,2002-05-17,North America,Wide,
101930100,Mardi Gras: Made in China,2006-03-24,North America,Limited,Carnivalesque Films
101940100,Herbie Hancock: Possibilities,2006-04-14,North America,Limited,Magnolia Pictures
101950100,Rank,2006-06-28,North America,Limited,IFC Films
101960100,The Green Butchers,2004-12-10,North America,Wide,Newmarket Films
101970100,Running on the Sun,2000-09-29,North America,Wide,
101990100,Happy Here and Now,2005-12-14,North America,Limited,IFC Films
102000100,Yom Yom,2001-02-16,North America,Wide,
102010100,The Rider Named Death,2005-03-18,North America,Limited,Kino International
102020100,Donne-moi la main,2009-09-11,North America,Limited,Strand
102030100,W.I.S.O.R.,2001-06-22,North America,Wide,
102040100,He Was a Quiet Man,2007-11-30,North America,Exclusive,Mitropoulos Films
102050100,Firedancer,2004-06-04,North America,Limited,Cinema Four
102060100,Looking for an Icon,2007-05-09,North America,Limited,First Run/Icarus
102070100,Blossoms of Fire,2006-02-03,North America,Limited,New Yorker
102080100,Mein Fuhrer: The Truly Truest Truth About Adolf Hitler,2009-08-14,North America,Limited,
102090100,Sex Sells: The Making of Touche,2005-02-25,North America,Limited,HB Filmworks
102100100,A Girl Called Rose Marie,1999-10-15,North America,Wide,Castle Hill Productions
102110100,Polar Opposites,2008-06-06,North America,Exclusive,Regent Releasing
102120100,The Optimists,2005-10-21,North America,Limited,Castle Hill Productions
102130100,Crónica de una fuga,2007-11-30,North America,Exclusive,IFC Films
102140100,Stella Does Tricks,2000-01-28,North America,Wide,Strand
102150100,The Village Barbershop,2009-01-16,North America,Limited,Monterey Media
102170100,Abouna,2004-02-20,North America,Limited,Leisure Time Features
102180100,Nowhere Man,2005-03-11,North America,Limited,First Run Features
102190100,You're Gonna Miss Me,2007-06-08,North America,Limited,Palm Pictures
102200100,Chutney Popcorn,2000-11-17,North America,Wide,First Look
102210100,Journeys With George,2003-03-14,North America,Wide,
102220100,The Overture,2005-10-07,North America,Limited,Kino International
102230100,The Big Question,2006-03-17,North America,Exclusive,ThinkFilm
102240100,Confessions of a Ex-Doofus-Itchy Footed Mutha,2009-08-14,North America,Limited,Self Distributed
102250100,Hey Happy!,2002-01-25,North America,Wide,
102270100,Moog,2004-09-24,North America,Limited,Plexifilm
102280100,Workingman's Death,2006-02-24,North America,Limited,Seventh Art Releasing
102290100,"Still, the Children are Here",2004-11-05,North America,Limited,First Run/Icarus
102300100,River Red,1998-11-13,North America,Wide,Castle Hill Productions
102310100,Shopping for Fangs,1998-05-08,North America,Wide,Margin Films
102320100,Artworks,2004-10-29,North America,Limited,Panorama Entertainment
102330100,Butterfly,2001-03-30,North America,Limited,
102340100,The 4th Tenor,2002-11-22,North America,Wide,
102350100,Stripped,2002-08-09,North America,Wide,
102360100,Mouth to Mouth,2006-05-19,North America,Limited,Artistic License
102370100,L'Homme Nu,2000-12-01,North America,Wide,
102380100,"Angry Monk: Reflections on Tibet, The",2009-01-02,North America,Limited,First Run/Icarus
102390100,Running with Arnold,2008-01-11,North America,Limited,Lantern Lane Entertainment
102400100,Mauvais sang,1987-09-30,North America,Wide,
102400100,Mauvais sang,2001-04-27,North America,Limited,
102400100,Mauvais sang,2015-08-14,Spain,Wide,
102410100,Staub,2008-12-05,North America,Limited,Icarus Films
102420100,Murder.com,2008-07-11,North America,Exclusive,Regent Releasing
102430100,Laura Smiles,2007-07-27,North America,Exclusive,Emerging Pictures
102440100,Choice of Weapons,2002-07-12,North America,Wide,Outrider Pictures
102450100,The Tenants,2006-02-03,North America,Limited,Alchemy
102470100,The Surfer King,2006-04-07,North America,Limited,Movin' Picture Studios
102480100,On the Downlow,2004-05-28,North America,Limited,Cinema Con Sabor
102490100,Heaven,1999-04-30,North America,Wide,Miramax
102500100,Thursday,1998-11-13,North America,Wide,Legacy Releasing
102510100,Jack and Jill vs. the World,2008-04-11,North America,Exclusive,Lantern Lane Entertainment
102520100,Sikandar,2009-08-21,North America,Limited,Reliance Big Pictures
102530100,Rock the Bells,2007-04-11,North America,Limited,Seventh Art Releasing
102540100,The Navigators,2003-02-21,North America,Limited,
102550100,Shuttle,2009-03-06,North America,Limited,Truly Indie
102560100,Badland,2007-11-30,North America,Exclusive,Arcangelo Entertainment
102570100,Greg et Gentillon,2007-04-06,North America,Limited,Alliance Films
102580100,Maria Bethania: Music is Perfume,2008-07-18,North America,Limited,ArtMattan Productions
102590100,Dead or Alive,2002-11-29,North America,Wide,
102600100,Abominable,2006-04-14,North America,Limited,Freestyle Releasing
102610100,With God on Our Side,2005-01-19,North America,Limited,Lumiere Productions
102620100,By Hook or by Crook,2002-10-25,North America,Wide,Artistic License
102630100,Olive Juice,2001-02-16,North America,Wide,
102640100,Oswald's Ghost,2007-11-30,North America,Exclusive,Seventh Art Releasing
102650100,Du pic au coeur,2001-02-09,North America,Wide,
102660100,The Day Silence Died,2000-12-08,North America,Wide,
102680100,Ghosted,2009-07-31,North America,Limited,First Run Features
102690100,La Leon,2008-10-10,North America,Limited,Music Box Films
102700100,On the Rumba River,2008-06-06,North America,Exclusive,First Run Features
102710100,Edgar Allan Poe's House of Usher,2008-05-09,North America,Exclusive,Regent Releasing
102720100,Gentleman Bandit,2002-03-01,North America,Wide,
102730100,Zig Zag,2002-06-21,North America,Wide,
102740100,"Young and Dangerous, Parts I & II",1999-07-23,North America,Wide,
102770100,Steal Me,2005-09-09,North America,Limited,Cineville
102780100,Mr. Smith Gets a Hustler,2002-06-21,North America,Wide,Outrider Pictures
102790100,Mama Africa,2002-06-07,North America,Limited,
102800100,Virtue,1999-02-05,North America,Wide,Margin Films
102810100,Sixth Happiness,1999-11-05,North America,Wide,Regent Releasing
102820100,Monterey Pop,2001-08-24,North America,Limited,
102820100,Monterey Pop,2017-06-14,North America,Limited,Janus Films
102830100,Mirage,2006-03-17,North America,Limited,Picture This Entertainment
102840100,Miss Conception,2008-06-06,North America,Exclusive,First Look
102850100,Blackwoods,2002-05-10,North America,Wide,ThinkFilm
102860100,Mem-o-re,2007-03-23,North America,Limited,Aloha Releasing
102870100,Making Grace,2005-07-22,North America,Limited,First Run Features
102880100,Divine Intervention,2007-11-30,North America,Limited,Bullz Eye
102890100,Heartbreak Hospital,2002-09-06,North America,Limited,Seventh Art Releasing
102890100,Heartbreak Hospital,2002-09-07,North America,Wide,
102900100,'Tis Autumn: The Search for Jackie Paris,2007-12-07,North America,Limited,Outsider
102910100,Unborn in the USA: Inside the War on Abortion,2007-06-15,North America,Limited,First Run Features
102920100,Virgil Bliss,2002-06-12,North America,Wide,
102930100,So Close to Paradise,2001-03-09,North America,Wide,
102940100,Free Radicals,2004-08-03,North America,Limited,Kino International
102950100,The Ballad of Bering Strait,2003-02-19,North America,Wide,Emerging Pictures
102960100,Kalyug,2005-12-09,North America,Limited,Kria
102970100,Terror Firmer,1999-10-29,North America,Wide,
102980100,Better Living,2000-08-04,North America,Wide,
102990100,Blindness,2003-11-21,North America,Limited,Pathfinder
103000100,Monumental: David Broners Fight for Wild America,2005-07-22,North America,Limited,First Run Features
103010100,FAQs,2006-02-03,North America,Limited,TLA Releasing
103020100,Four Lane Highway,2007-06-01,North America,Limited,Sky Island
103030100,Freshmen,2002-04-26,North America,Wide,
103040100,The Execution of Wanda Jean,2002-09-06,North America,Limited,Seventh Art Releasing
103050100,Ice Blues: A Donald Strachey Mystery,2008-10-10,North America,Limited,Regent Releasing
103060100,Be With Me,2006-09-29,North America,Limited,Film Movement
103070100,Keeping it Real: The Adventures of Greg Walloch,2001-11-09,North America,Wide,Avatar
103080100,The Dog Problem,2007-04-27,North America,Limited,ThinkFilm
103090100,Return to the Land of Wonders,2005-07-13,North America,Limited,Arab Film Distribution
103100100,Grip: A Criminal's Story,2006-04-28,North America,Limited,JeTi Films
103110100,El Leyton,2003-11-21,North America,Limited,
103130100,Strákarnir okkar,2007-11-16,North America,Exclusive,Regent Releasing
103140100,Once Upon a Time in the Hood,2004-06-18,North America,Limited,Maverick Entertainment
103150100,The Long Weekend,2006-06-09,North America,Limited,Gold Circle Films
103160100,Frog-g-g!,2005-04-21,North America,Limited,End of All Cinema
103170100,Incendiary,2009-02-06,North America,Limited,Capitol Films
103180100,Homo Sapiens 1900,2000-03-03,North America,Wide,
