movie_odid,display_name,release_odid,release_name,video_release_date,type,distributor
56670100,Rudo y Cursi,29270119,Rudo y Cursi,2009-08-25,,Sony Pictures Home Entertainment
56820100,Clay Pigeons,50880119,Clay Pigeons,1999-07-13,Regular,Universal Home Entertainment
56840100,Son of Rambow: A Home Movie,21000119,Son of Rambow,2008-08-26,,Paramount Home Video
56870100,Washington Square,193570119,Washington Square,2002-09-03,Regular,Mill Creek Entertainment
56950100,Valentino: The Last Emperor,29950119,Valentino: The Last Emperor,2009-09-08,,Phase 4 Films Video
57160100,Every Little Step,31340119,Every Little Step,2009-10-13,Regular,Sony Pictures Home Entertainment
57190100,Sweet Land,10110119,Sweet Land - A Love Story,2007-07-10,,Fox Home Entertainment
57290100,Quinceanera,13620119,Quinceanera,2007-01-09,,Sony Pictures Home Entertainment
57310100,Blood Simple,137940119,Blood Simple,2008-09-16,Regular,MGM Video
57360100,Who Killed the Electric Car?,5160119,Who Killed the Electric Car?,2006-11-14,,Sony Pictures Home Entertainment
57380100,My One and Only,33200119,My One and Only,2009-11-10,,Fox Home Entertainment
57420100,Factory Girl,10040119,Factory Girl,2007-07-17,,Weinstein Co./Genius
57490100,Battle for Terra,29310119,Battle for Terra,2009-09-22,,Lionsgate Home Entertainment
57570100,Gun Shy,188500119,Gun Shy,2000-06-20,Regular,Mill Creek Entertainment
57590100,Camp,15030119,Camp,2004-02-24,,MGM Video
57610100,The Gingerbread Man,51040119,The Gingerbread Man,2002-08-27,Regular,Universal Home Entertainment
57640100,Keeping Mum,30550119,Keeping Mum,2007-02-20,,Velocity/ThinkFilm
57850100,Veronica Guerin,20420119,Veronica Guerin,2004-03-16,,Walt Disney Home Entertainment
57920100,City of Industry,161600119,City of Industry,2001-02-06,Regular,MGM Video
57980100,Year of the Dog,10460119,Year of the Dog,2007-08-28,,Paramount Home Video
58020100,Murderball,100930119,Murderball,2005-11-29,Regular,Velocity/ThinkFilm
58120100,Married Life,19380119,Married Life,2008-09-02,,Sony Pictures Home Entertainment
58130100,Nochnoy dozor,3280119,Night Watch,2006-06-20,,Fox Home Entertainment
58470100,Farinelli,203990119,Farinelli,2000-08-08,Regular,Sony Pictures Home Entertainment
58500100,No End In Sight,17550119,No End in Sight,2007-10-30,,Magnolia Home Entertainment
58570100,Northfork,13140119,Northfork,2003-12-30,,Paramount Home Video
58610100,The Notorious Bettie Page,13610119,"Notorious Bettie Page, The",2006-09-26,,HBO Home Video
59040100,Thumbsucker,14660119,Thumbsucker,2006-01-24,,Sony Pictures Home Entertainment
59210100,Sylvia,12920119,Sylvia,2004-02-10,,Universal Home Entertainment
59260100,Funny Games,17110119,Funny Games,2008-06-10,,Warner Home Video
59270100,Dogtown and Z-Boys,50080119,Dogtown and Z-Boys,2002-08-06,Regular,Sony Pictures Home Entertainment
59390100,Donnie Darko,14700119,Donnie Darko,2002-03-19,,Fox Home Entertainment
59480100,The Abandoned,9340119,"Abandoned, The",2007-06-19,,Lionsgate Home Entertainment
59490100,Tristram Shandy: A Cock and Bull Story,20660119,Tristram Shandy: A Cock and Bull Story,2006-07-11,,HBO Home Video
59500100,Gonzo: The Life and Work of Dr. Hunter S. Thompson,22990119,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008-11-18,,Magnolia Home Entertainment
59580100,Bubba Ho-Tep,15590119,Bubba Ho-Tep,2004-05-25,,MGM Video
59620100,Slow Burn,9960119,Slow Burn,2007-07-24,,Lionsgate Home Entertainment
59700100,Taare Zameen Par,32630119,Like Stars on Earth,2010-01-12,,Walt Disney Home Entertainment
59730100,Nueve Reinas,13470119,Nine Queens,2002-10-01,,Sony Pictures Home Entertainment
59750100,Shut Up and Sing,6620119,Dixie Chicks - Shut Up & Sing,2007-02-20,,Weinstein Co./Genius
59760100,The Celestine Prophecy,6950119,"Celestine Prophecy, The",2006-12-19,,Sony Pictures Home Entertainment
59850100,Flawless,17280119,Flawless,2008-06-03,,Magnolia Home Entertainment
59860100,Banlieue 13,350119,District 13,2006-09-05,,Magnolia Home Entertainment
59950100,Paper Heart,31860119,Paper Heart,2009-12-01,Regular,Starz / Anchor Bay
59980100,"4 luni, 3 saptamani si 2 zile",17860119,"4 Months, 3 Weeks, 2 Days",2008-06-17,Regular,Genius Products
60010100,Equilibrium,13760119,Equilibrium,2003-05-13,,Dimension Home
60050100,Saving Face,200119,Saving Face,2005-10-18,,Sony Pictures Home Entertainment
60110100,Find Me Guilty,20460119,Find Me Guilty,2006-06-27,,Fox Home Entertainment
60140100,Permanent Midnight,17750119,Permanent Midnight,1999-02-23,,Lionsgate Home Entertainment
60190100,Trois,13410119,Trois,2000-11-28,,Sony Pictures Home Entertainment
60230100,The Final Season,14520119,"Final Season, The",2008-04-15,,Sony Pictures Home Entertainment
60310100,Infamous,13360119,Infamous,2007-02-13,,Warner Home Video
60420100,Osama,13150119,Osama,2004-04-27,,MGM Video
60590100,The U.S. vs John Lennon,17560119,"U.S. vs. John Lennon, The",2007-02-13,,Lionsgate Home Entertainment
60730100,Brick Lane,23300119,Brick Lane,2009-01-13,,Sony Pictures Home Entertainment
60770100,What Just Happened,26360119,What Just Happened?,2009-02-24,,Magnolia Home Entertainment
60840100,Sugar,29450119,Sugar,2009-09-01,,Sony Pictures Home Entertainment
60890100,And When Did You Last See Your Father?,23830119,When Did You Last See Your Father?,2008-11-04,,Sony Pictures Home Entertainment
61040100,Wonderland,20450119,Wonderland,2004-02-10,,Lionsgate Home Entertainment
61060100,Chuck&Buck,13430119,Chuck & Buck,2000-12-19,,Lionsgate Home Entertainment
61120100,The Last Kiss,5750119,"Last Kiss, The",2006-12-26,,Paramount Home Video
61180100,Leonard Cohen: I'm Your Man,147080119,Leonard Cohen: I'm Your Man,2006-11-14,Regular,Lionsgate Home Entertainment
61190100,Ghost in the Shell 2: Innocence,147370119,Ghost in the Shell 2: Innocence,2017-02-07,Regular,Funimation Productions
61280100,The Children of Huang Shi,23620119,"Children of Huang Shi, The",2009-01-20,,Sony Pictures Home Entertainment
61420100,Dead Man,174910119,Dead Man,2000-12-19,Regular,Miramax Video
61450100,Hard Candy,16380119,Hard Candy,2006-09-19,,Lionsgate Home Entertainment
61500100,Skinwalkers,11950119,Skinwalkers,2007-11-27,,Lionsgate Home Entertainment
61610100,Thr3e,13230119,Thr3e,2007-04-24,,Fox Home Entertainment
61670100,Fast Food Nation,7400119,Fast Food Nation,2007-03-06,,Fox Home Entertainment
61730100,Goya's Ghosts,12070119,Goya's Ghosts,2008-02-26,,Sony Pictures Home Entertainment
61860100,Cowboy Bebop,144780119,Cowboy Bebop: The Complete Series,2014-12-16,,Funimation Productions
61950100,Cassandra's Dream,18070119,Cassandra's Dream,2008-05-27,,Weinstein Co./Genius
62040100,Broken English,10420119,Broken English,2007-08-21,,Magnolia Home Entertainment
62060100,The Ten Commandments,12020119,Ten Commandments (2007),2008-02-05,,Promenade Pictures
62070100,Diary of the Dead,16880119,George A. Romero's Diary of the Dead,2008-05-20,,Weinstein Co./Genius
62110100,It Might Get Loud,33970119,It Might Get Loud,2009-12-22,,Sony Pictures Home Entertainment
62190100,Management,28490119,Management,2009-09-29,,Image Entertainment/ThinkFilm
62240100,Criminal,13210119,Criminal,2005-04-12,,Warner Home Video
62250100,Heathers,18800119,Heathers,1999-03-30,,Starz / Anchor Bay
62310100,Chandni Chowk to China,26260119,Chandni Chowk to China,2009-05-05,,Warner Home Video
62400100,Delgo,28630119,Delgo,2009-08-04,,Fox Home Entertainment
