movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
1880100,Gremlins,,110716,,,1144383
1890100,Gran Torino,,227810,0,,537077
1910100,G.I. Joe: The Rise of Cobra,,58582,38343735,,1151793
1920100,Paul Blart: Mall Cop,,1780156,,,1091259
1940100,Lilo & Stitch,,,0,,
1960100,Taken,,1571128,0,,2754755
1980100,"I, Robot",,113257,,,610466
2000100,The Fast and the Furious,,801668,,,1394897
2020100,Mamma Mia!,,,,,3345315
2030100,Juno,,5714,,,
2040100,Marley & Me,,,,,787912
2050100,xXx,,34179,,,
2070100,The Chronicles of Narnia: Prince Caspian,,,,,
2110100,Slumdog Millionaire,,56472,,,759134
2120100,Rush Hour,,,,,
2130100,The Blair Witch Project,,503820,,,
2150100,Rush Hour 3,,,,,
2170100,Stuart Little,,,,,
2180100,The Rocky Horror Picture Show,,2194944,,,2827454
2210100,The Matrix Revolutions,,,,,
2220100,The Santa Clause 2,,102656,,,
2250100,Good Will Hunting,,330644,0,,1960314
2260100,Platoon,,,,,
2280100,Click,,,,,
2290100,The Green Mile,,,,,
2310100,Godzilla,,,,,
2340100,Chicken Little,,411940,,,
2360100,Patch Adams,,120757,,,
2370100,The Godfather,,,,,1354004
2380100,The Incredible Hulk,,347239,,,3752256
2390100,Live Free or Die Hard,,,0,,
2400100,Wanted,,272393,,,
2430100,Mission: Impossible III,,295036,,,188685
2440100,Angels & Demons,,10635150,45214435,,1597336
2450100,The Departed,,775076,0,,668424
2460100,Troy,,918978,,,1398763
2480100,Hulk,,,,,
2490100,Minority Report,,106210,,,698423
2500100,Fantastic Four: Rise of the Silver Surfer,,,,,
2510100,Lara Croft: Tomb Raider,,6841,,,
2520100,The Silence of the Lambs,,,,,
2560100,Get Smart,,284194,,,
2600100,The Ring,,,,,
2620100,Borat,,,,,
2630100,Robots,,14167,,,
2650100,"Crouching Tiger, Hidden Dragon",,,,,
2670100,Enchanted,,149629,,,
2680100,The Curious Case of Benjamin Button,,54141,,,516003
2690100,Sweet Home Alabama,,,,,
2720100,The World is Not Enough,,,,,
2760100,Bee Movie,,25160,,,1594764
2810100,Ocean's Twelve,,38079,,,
2820100,Terminator Salvation,,747096,31607826,,1395571
2830100,Charlie's Angels,,,,,
2840100,Tomorrow Never Dies,,,,,
2860100,The Devil Wears Prada,,853016,,,
2880100,Traffic,,,,,
2940100,The Bodyguard,,1642700,,,906510
2960100,The Bourne Identity,,,,,369288
2970100,Superbad,,83974,,,918050
2990100,50 First Dates,,,,,
3010100,Mulan,,,,,
3020100,Seabiscuit,,672755,,,
3030100,Van Helsing,,1027,,,54286
3040100,Four Christmases,,11815152,41790693,,1003868
3060100,I Now Pronounce You Chuck and Larry,,,,,
3080100,Walk the Line,,9090,,,
3100100,Total Recall,,45058,,,552158
3120100,Fahrenheit 9/11,,,,,
3130100,Hairspray,,58728,,,
3140100,The Break-Up,,,,,
3150100,Lemony Snicket's A Series of Unfortunate Events,,305263,,,
3160100,Blades of Glory,,232789,,,
3170100,The Sum of All Fears,,,,,
3210100,Die Hard 2,,,,,
3230100,G-Force,,3996110,21899076,,1349183
3240100,Ocean's Thirteen,,18988,,,
3250100,S.W.A.T.,,,,,
3270100,8 Mile,,36269,,,
3310100,Ghost Rider,,,,,
3320100,Remember the Titans,,147941,,,
3360100,Dodgeball: A True Underdog Story,,8810031,0,,
3380100,Bolt,,5122332,,,
3410100,The Patriot,,,,,
3420100,The Pacifier,,,,,
