movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
107330100,Where the Wild Things Are,,235584,16370426,,3723064
107380100,Band of Angels,,,,,
107400100,Fame,,,20376390,,724429
107550100,Percy Jackson & the Olympians: The Lightning Thief,,3737454,36270274,,7634026
107600100,Marigold,,,,,
107710100,The A-Team,,294846,10602235,,3622944
107740100,Ong-Bak 2,,,,,220557
107750100,Powder Blue,,,,,
107800100,The Green Hornet,,,36207930,,3513498
107880100,The Twilight Saga: New Moon,,15962473,35452708,,21018213
107900100,Despicable Me,,320047236,34747338,,39935662
107940100,Hit and Run,,343480,0,,
107950100,Shutter Island,,2099984,29099417,,3861994
107980100,The Crazies,,,19464243,,2073102
108070100,The Last Airbender,,49637,25572788,,3188248
108240100,Hak Hap,,,,,
108370100,The Stepfather,,232144,20138714,,992413
108440100,An Education,,,11647861,,
108450100,Donkey X,,,,,
108540100,The Night Stalker,,105521,,,
108640100,The Fighter,,503392,38681583,,3351476
108740100,The Wolfman,,,35174784,,3278604
108930100,Coco avant Chanel,,,4884237,,
108970100,Transformers: Dark of the Moon,,3998727,38400777,,14019414
109080100,Salt,,11332120,50878385,,4805529
109100100,Killers,,2901447,29751042,,2016061
109130100,Thor,,39538059,42079430,,13383356
109340100,Couples Retreat,,116841,36997001,,4697298
109380100,Cirque du Freak: The Vampire's Assistant,,,14500381,,999908
109460100,Sucker Punch,,1587632,11764622,,3386479
109520100,Saw VI,,,18502317,,1400377
109670100,The Twilight Saga: Eclipse,,4542600,25773581,,13601269
109690100,Did You Hear About the Morgans?,,,31442223,,959437
109700100,Green Lantern,,133837,14633508,,5624446
109710100,Jonah Hex,,,24278274,,635420
109740100,The Men Who Stare at Goats,,,21058677,,1282230
109820100,The Expendables,,639536,38867609,,5914564
109830100,Up in the Air,,496995,25193029,,2263555
109930100,Red Tails,,,6366843,,3989282
109950100,The Greatest,,136048,7048995,,
109990100,Dinosaurs Alive!,,,,,
110030100,Bandidas,,,,,
110040100,Mao's Last Dancer,,,,,
110090100,Please Give,,,,,
110130100,Tron: Legacy,,22524840,34004286,,8393296
110150100,Secretariat,,592608,15579490,,7355834
110160100,You Again,,,24587714,,1877913
110230100,Dil Bole Hadippa!,,,,,
110260100,Das Weisse Band: Eine deutsche Kindergeschichte,,,,,
110410100,Tangled,,458827376,27048362,,44100968
110420100,Barney's Version,,,,,
110460100,Krystal,,47678,,25000,
110630100,In My Sleep,,,,,
110660100,Un Prophète,,,,,
110740100,Splice,,,26818556,,556347
110770100,The Losers,,,20279495,,1704109
110780100,Flipped,,149939,,,
110840100,MacGruber,,,5242045,,1053338
110850100,Free Style,,,,,
110860100,A Nightmare on Elm Street,,240136,28874718,,1231863
110870100,Zookeeper,,564237,28121632,,2354150
110890100,Our Family Wedding,,,18359320,,832951
111060100,Going the Distance,,165474,16290222,,
111070100,Marmaduke,,,26982996,,1831254
111080100,Life as We Know It,,957360,22528076,,3119864
111140100,The Hangover Part II,,,19485634,,9004186
111150100,Endgame,,,,,
111170100,Due Date,,,36870440,,4233565
111180100,Remember Me,,143892,23394342,,1889744
111280100,She's Out of My League,,1305500,18791126,,1382480
111290100,Season of the Witch,,,22580454,,1822081
111420100,Like Dandelion Dust,,,,,
111460100,Shrek Forever After,,2157642,33698166,,5181908
111610100,Resident Evil: Afterlife,,49552,19839267,,4097565
111630100,Priest,,,31816979,,2287997
111660100,Lottery Ticket,,,10295260,,896034
111670100,Your Highness,,,19886781,,1797081
111680100,The Roommate,,,22776280,,793420
111700100,Burlesque,,266890,9693409,,5627605
111830100,Last Night,,,,,
111840100,City Island,,,,,377906
111850100,Letters to Juliet,,432448,21167733,,4067826
111860100,The Karate Kid,,61710,54679581,,3840050
111870100,Get Him to the Greek,,1372488,50917100,,2072379
111880100,Morning Glory,,1845020,15695418,,939506
111900100,Paranormal Activity,,138852,31145475,,2149020
111910100,Dare,,,,,
111950100,Repo Men,,,19619171,,1231329
112100100,Michael Jackson's This Is It,,,18732754,,5889401
112190100,Brothers,,440288,19909785,,1615990
112250100,Brooklyn's Finest,,86788,34003456,,1828409
112260100,A Single Man,,,11961424,,822816
112280100,The Ministers,,,7877663,,
112310100,The Blind Side,,8722428,35388897,,13000807
112340100,The Back-up Plan,,,29441751,,1820690
112360100,The Spy Next Door,,,18060266,,1210760
112380100,Valentine's Day,,13916656,40207241,,2665569
112420100,Solomon Kane,,,,,
112430100,The Last Song,,1973888,24115778,,5765022
112440100,Mother and Child,,,,,
112540100,Battleship,,334712,27065892,,5737186
112570100,To Save a Life,,,7592059,,
112580100,Transylmania,,,,,
112590100,Faster,,,22121709,,2150886
112640100,Precious (Based on the Novel Push by Sapphire),,122621,22063676,,2485624
112680100,I Hope They Serve Beer in Hell,,,3649666,,
113330100,From Paris With Love,,,33299056,,2310808
113400100,Good Hair,,589536,9665812,,
113440100,Looking for Eric,,,,,
113620100,"Baby, Baby, Baby!",,28995,,25000,
113710100,Centurion,,,3249456,,693728
113780100,Madagascar 3: Europe's Most Wanted,,4379058,25012145,,10302044
113880100,From Mexico with Love,,,,,
114020100,Black Dynamite,,,,,
114060100,Puss in Boots,,2528696,23891254,,9584824
114110100,Skin,,,,,
114230100,The Invention of Lying,,646841,23341737,,766186
114270100,Footloose,,,22203889,,2440719
114290100,Hotel Transylvania,0,304945000,36059700,,20572839
114300100,Rio,,11198353,40970952,,20082052
114370100,Red Dawn,,,38185642,,3819825
114440100,Law Abiding Citizen,,812804,39273582,,3543717
114620100,It's Alive,,,2041167,,
114810100,Beastly,,88242,19505477,,1390110
114820100,More Than a Game,,,,,
114840100,Skateland,,,,,
115070100,Pandorum,,,17091770,,1038521
115100100,Grown Ups,,1087684,54432406,,4734244
115110100,Dinner for Schmucks,,664220,38525770,,1789212
115320100,The Fourth Kind,,,20778000,,1286136
115330100,Hot Tub Time Machine,,11109358,29064523,,3800127
115370100,Dark Country,,,1852938,,
115420100,Middle Men,,39288,,,
115430100,Pompeii,0,19918800,17003704,8603498,2637853
115470100,The Box,,1082870,12810270,,520839
115490100,Castle in the Sky,,,,,
115660100,A Thousand Words,,,20292563,,758739
115700100,Alice in Wonderland,,,30485857,,16082280
115710100,Tooth Fairy,,722160,24179977,,3055811
116050100,Whip It,,207597,25829879,,1131004
116120100,Invictus,,,20200965,,2240853
116180100,Atlas Shrugged: Part 1,,,,,960388
116220100,Disney’s A Christmas Carol,,3520068,18120972,,6151483
116240100,Edge of Darkness,,843149,30713472,,2206296
116330100,Nine,,,10825492,,864611
116510100,Fantastic Mr. Fox,,3872544,11255094,,3583210
116560100,Ninja Assassin,,,9983693,,2379878
116630100,How to Train Your Dragon,,126339640,44003715,,21033300
116790100,It’s Complicated,,225760,36123878,,5542325
116820100,Janky Promoters,,1674324,4417515,,
117300100,Le renard et l'enfant,,,,,
117390100,St. Trinian’s,,,,,
117590100,Robin Hood,,46892538,61004759,,5885837
117730100,The Slammin' Salmon,,,5084057,,
117810100,The Messenger,,645424,8132694,,
117900100,The Poughkeepsie Tapes,,,,25000,
117920100,The Road,,,20318306,,1581764
117940100,Iron Man 2,,10841780,45311113,,12313212
117960100,The Avengers,,100405094,39369148,,41477443
118060100,Jurassic World,24707256,248355562,,19000000,54276002
118220100,The Cabin in the Woods,,1605051,32009006,,2749784
118260100,Gnomeo and Juliet,,18195480,25875684,,4849506
118330100,Life of Pi,,3677008,47864105,,10043563
118340100,The Wicker Man,,,,,
118350100,Legend of the Guardians: The Owls of Ga'Hoole,,,6156423,,2489238
118550100,The Ghost Writer,,,15634444,,772744
118610100,Gedo Senki (Tales from Earthsea),,,,,
118940100,Cowboys and Aliens,,,22256157,,6275521
118960100,Bad Lieutenant: Port of Call New Orleans,,,14583896,,777493
119020100,6 Souls,,,,25000,517595
119330100,The Imaginarium of Doctor Parnassus,,,11523618,,1550049
119340100,Harry Potter and the Deathly Hallows: Part I,,45925398,32970977,,18618349
119400100,The Private Lives of Pippa Lee,,,3609941,,
119680100,Piranha 3D,,27156,6850392,,1550982
119960100,RoboCop,0,95419044,978185,14745997,5999423
120120100,Toy Story 3,,98503678,45341657,,18509429
120330100,Youth in Revolt,,,,,722143
120400100,Case 39,,263823,18728116,,633613
120480100,The Perfect Game,,,,,
120660100,Cats & Dogs: The Revenge of Kitty Galore,,,9407651,,912710
120740100,Planet 51,,908112,13659774,,2241193
120790100,Shanghai,,86555,,36560,4935
121300100,Green Zone,,,34106993,,2513778
121310100,The Chronicles of Narnia: The Voyage of the Dawn Treader,,4098680,18118240,,6926721
121340100,Crazy on the Outside,,,9610364,,364748
121460100,Kick-Ass,,258111,31889864,,4611126
121650100,Unstoppable,,2201826,24618544,,4570164
121680100,When in Rome,,,25108660,,1742552
121730100,The Book of Eli,,2387820,39245183,,7223684
121740100,Accidental Love,,285373,,17506384,
121810100,Clash of the Titans,,,32042820,,6006454
121880100,Prince of Persia: Sands of Time,,,37335791,,5386369
122040100,Avatar,,85577439,53980863,,47054020
122200100,Mary Queen of Scots,1885592,3125311,,,
122480100,Takers,,,29549041,,2743728
122570100,Kung Fu Panda 2,,15731358,13556485,,7744590
122620100,What Doesn't Kill You,,,,,
122800100,[Rec],,,,,
122820100,Old Dogs,,,11057322,,3138315
122890100,All the Boys Love Mandy Lane,,,,504992,
122900100,Timber Falls,,,,,
123090100,Hugo,,122968,22512690,,4563401
123120100,The Boat That Rocked,,,13000877,,671887
123940100,Sin City: A Dame to Kill For,3969554,1485524,,6678498,2055849
124040100,The Princess and the Frog,,20953408,17448276,,16842637
124050100,Hoodwinked Too: Hood vs. Evil,,997200,12159164,,416255
124080100,Cars 2,,39600138,14349584,,22492911
124130100,Brave,,337361511,14489582,,32746725
124140100,We're the Millers,0,59304320,68276317,19000000,12772774
124300100,Captain America: The First Avenger,,128186520,34943044,,19203562
124320100,"I Love You, Phillip Morris",,,8228061,,
124370100,Gabriel,,101937,,,
124670100,Wall Street 2: Money Never Sleeps,,64999,19933501,,1545032
124750100,Paper Man,,,,,
124810100,A Serious Man,,,11054020,,905030
124890100,All's Faire in Love,,,,,
124980100,Zombie Strippers,,,,,
124990100,An Invisible Sign ,,,,,
125030100,Leaves of Grass,,,5881730,,
125100100,The Lovely Bones,,,16115559,,1869708
125130100,The Stanford Prison Experiment,,1127448,,511631,25073
125160100,Man of Steel,0,178445655,36173414,19000000,28309189
125340100,Ocean Wonderland,,,,,
125350100,Rango,0,1317680,50940388,,6279956
125740100,Margaret,,22597,,,
125850100,Astro Boy,,160800,9186576,,1258193
125870100,Dear John,,516018,36012021,,4068540
125900100,Legion,,,24357493,,3065739
125920100,The Amazing Spider-Man,,104628573,29017341,,24086528
125970100,Wal-Mart: The High Cost of Low Price,,,,,
126210100,The Hobbit: The Desolation of Smaug,,61832196,28827024,19000000,38988971
126310100,The Lone Ranger,,149835,29398314,16977247,12386144
126510100,Unthinkable,,,10775907,,
126540100,The Hobbit: An Unexpected Journey,,6001006,28486403,,28261590
126600100,Sherlock Holmes,,11914722,42330422,,9352361
126650100,Pirates of the Caribbean: On Stranger Tides,,15314607,15515381,,10019677
126660100,Big Eyes,2940024,4762374,,6678498,1682923
126680100,Furry Vengeance,,,17598756,,836371
126690100,The Town,,30894192,25239399,,4658735
128670100,Knight and Day,,1329504,25907755,,2670690
128690100,Waking Sleeping Beauty,,,,,
128770100,The Other Guys,,7079430,43745223,,4868055
128830100,The Croods,,3511145,24674581,19000000,19229678
128850100,The Boondock Saints 2: All Saints Day,,,11949701,,2977532
128860100,Flickan som lekte med elden,,,3987662,,404487
128880100,Rise of the Guardians,,5628259,35436550,,12442349
128900100,Batman & Robin,,,,,
128920100,Extraordinary Measures,,,14943187,,1032604
128940100,Diary of a Wimpy Kid,,1438359,27229652,,4924119
128950100,Oceans,,,,,1102894
128960100,Predators,,114536,18221966,,2153467
129030100,The Hole 3D,,,,,
129040100,Solitary Man,,,12661118,,
129050100,Bitch Slap,,,,,
129110100,Yogi Bear,,,23437634,,2734030
129120100,Underworld: Awakening,,617922,18104788,,5503999
129160100,Happy Feet Two,,,15793485,,3683792
129170100,Arthur Christmas,,1663326,17064493,,4366822
129190100,Battle: Los Angeles,,311751,34723452,,4201116
129200100,Step Up 3D,,1321191,14333401,,2341713
129220100,Babies,,,818746,,357045
129290100,Poltergeist,4796911,,,12120997,1881571
129530100,Crazy Heart,,940160,21523417,,2317847
129600100,Greenberg,,,10858504,,
129650100,Les herbes folles,,,,,
129750100,The American,,,9846585,,1328137
129760100,300,,840186,0,,1945803
129770100,Armageddon,,12746,,,3322024
129780100,Air Force One,,,,,
129790100,Apollo 13,,84282,,,
129820100,American Gangster,,243645,,,294693
129830100,American Beauty,,,,,
129840100,2 Fast 2 Furious,,387935,,,1103815
129860100,"10,000 B.C.",,,,,
129880100,Along Came Polly,,,,,
129890100,Are We There Yet?,,,,,
129900100,21,,28139,,,
129920100,Apocalypse Now,,,,,397610
129930100,27 Dresses,,16608,,,
129940100,Any Given Sunday,,26833,,,
129950100,Along Came a Spider,,,,,
129960100,1408,,,,,
130030100,2001: A Space Odyssey,,183438,,,
130050100,3:10 to Yuma,,130722,,,1088606
130080100,Amadeus,,,,,
130090100,Apocalypto,,,,,
130100100,Are We Done Yet?,,,,,
130150100,30 Days of Night,,,,,
130160100,The Adventures of Sharkboy and Lavagirl in 3-D,,,,,
130180100,16 Blocks,,,,,
130270100,28 Weeks Later,,,,,
130300100,The Ant Bully,,,,,
130320100,Aeon Flux,,,,,
130390100,2 For the Money,,,,,
130420100,Amazing Grace,,,,,
130430100,Antwone Fisher,,,,,
130480100,Appaloosa,,25435,,,
130530100,The Apartment,,,,,
130540100,Aquamarine,,60988,,,
130560100,An American Haunting,,,,,
130570100,21 Grams,,,,,
130580100,Adventureland,,,0,,396000
130620100,Alpha Dog,,,,,
130630100,American Psycho,,2314012,,,
130660100,25th Hour,,,,,
130680100,12 Rounds,,,0,,
130700100,The Adventures of Elmo in Grouchland,,,,,
130790100,Air Bud: Golden Receiver,,,,,
130920100,An American Carol,,,,,
130960100,The Aristocrats,,,,,
130990100,American Splendor,,,,,
131040100,Aqua Teen Hunger Force Colon Movie Film for Theaters,,,,,
131080100,Apocalypse Now Redux,,21091,,,
131100100,The Adventures of Pluto Nash,,,,,
131230100,Adam,,,,,
131290100,2046,,,,,
131460100,O Ano em Que Meus Pais Saíram de Férias,,,,,
131490100,11th Hour,,,,,
131500100,Anvil! The Story of Anvil,,,613410,,
131570100,A Collection of 2007 Academy Award Nominated Short Films - Live Action & Animation,,,,,
131630100,Amandla! A Revolution in Four Part Harmony,,,,,
131710100,Adoration,,,566668,,
131880100,After Innocence,,,,,
131920100,Another Gay Sequel,,,,,
131940100,The Adventures of Sebastian Cole,,,,,
132030100,Air Guitar Nation,,,,,
132190100,The Alphabet Killer,,,,,
132220100,An American Affair,,,,,
132280100,American Gun,,,,,
132340100,Am Limit,,,,,
132370100,The Amateurs,,,,,
132440100,The Architect,,,,,
132740100,(Untitled),,3824,,,
132840100,Adventures of Power,,,,,
133010100,The Adventures of Tintin,,,21522950,,4421352
133110100,Ant-Man,24275891,281825900,,19000000,28842137
133160100,Alvin and the Chipmunks: The Squeakquel,,16438184,25981969,,9337247
133250100,Alpha and Omega 3D,,,12222420,,1566191
133340100,2012,,1994457,39591697,,7927132
133410100,Armored,,,15268931,,759402
133430100,Amelia,,,21201508,,746923
133570100,Frozen,,5333355,,,654870
133590100,The Joneses,,28040,8974286,,
133710100,Bran Nue Dae,,,,,
133910100,Get Low,,,,,694677
133930100,Happy Tears,,,,,
133950100,Twelve,,,,,
133960100,The Wildest Dream,,40775,,,
134090100,Leap Year,,106344,20802609,,3100703
134130100,Speed-Dating,,,,,
134200100,Letters to God,,,7287109,,
134230100,Why Did I Get Married Too?,,,13231842,,2396947
134250100,Cyrus,,,,,
134340100,3 Idiots,,,,,
134470100,The Bounty Hunter,,,32910601,,2668126
134550100,Bucky Larson: Born to Be a Star,,,,,
134560100,Love and Other Drugs,,2648334,19767348,,2126335
134570100,How Do You Know?,,412744,29113564,,1310096
134620100,Star Trek Into Darkness,,16183538,41292446,19000000,25957125
134630100,Hubble 3D,,,,,
134670100,The Eagle,,,9683138,,1353557
134690100,Serge Gainsbourg vie heroique,,,,,
134730100,Black,,,,,
134750100,True Grit,,351510,41982270,,5267882
134770100,Paranormal Activity 2,,,19940433,,2186341
134830100,Let Me In,,,7124469,,1389860
134840100,The Runaways,,,10295708,,1085623
134930100,Defendor,,,6556411,,
135000100,Trailer Park Boys: Countdown to Liquor Day,,,,,
135010100,The Good Guy,,,,,
135130100,The Kids Are All Right,,,4113665,,
135140100,My Name is Khan,,,5176984,,
135240100,13,,,3750843,,
135280100,Just Wright,,45048,14296574,,1533200
135470100,After.Life,,,6057270,,
135540100,Chloe,,,9209813,,
135590100,Harry Brown,,,,,
135670100,The Secret of Kells,,29501,,,
135720100,The Dry Land,,,1300248,,
135760100,Micmacs,,,,,
135860100,The Experiment,,,3820143,,
135920100,Mars Needs Moms,,1767624,13064277,,1337533
135940100,Warrior,,252786,11299516,,2704528
135950100,Saw 3D,,2168382,11565331,,1949529
135960100,For Colored Girls,,,10114079,,2126454
135980100,Children of Invention,,,,,
135990100,The Social Network,,2600932,49621180,,4001549
136060100,Rejoice and Shout,,,,,
136090100,The Last Exorcism,,,12546908,,1124701
136230100,George A. Romero's Survival of the Dead,,,,,441851
136380100,El secreto de sus ojos,,,,,
136390100,The Switch,,209096,28665899,,1160013
136410100,Restrepo,,47897,,,
136440100,Tonari no Totoro,,,,,
136560100,L'arnacouer,,,,,
136620100,Chain Letter,,,,,
136850100,The Tempest,,,,,
137000100,Winter's Bone,,1902170,12170778,,534659
137020100,You and I,,,,,
137060100,Casino Jack and the United States of Money,,,,,
137070100,Holy Rollers,,,,,
137140100,Winnebago Man,,53078,,,
137150100,Handsome Harry,,,,,
137380100,Caught in the Crossfire,,,,,
137400100,The Freebie,,,,,
137470100,Fair*Game,,418041,3923736,,
137510100,Scott Pilgrim vs. The World,,98148,7922936,,2987852
137520100,The Trial,,97221,,,
137570100,Buried,,,12234330,,
137600100,Volcano,,46401,,,
137680100,Waiting for Forever,,,1269339,,
137700100,The Human Centipede,,,,,366880
137840100,It's Kind of a Funny Story,,117896,2646752,,
137860100,Racing Dreams,,,,,
137940100,Don't Be Afraid of the Dark,,,7052486,,973128
138020100,Countdown to Zero,,30036,,,
138030100,And Soon the Darkness,,,,,
138040100,Charlie St. Cloud,,40362,15130854,,1165263
138070100,Eat Pray Love,,1564703,27890810,,3495796
138130100,Ip Man,,693018,4433,,
138140100,Legendary,,766384,3531794,,
138160100,The Oogieloves in the BIG Balloon Adventure,,,,,
138170100,Waiting for Superman,,,2200107,,
138270100,Kings of Pastry,,,,,
138400100,Nobody's Perfect,,,,,
138420100,Luftslottet som sprängdes,,,,,1004904
138480100,Daddy Long Legs,,26722,,,
138570100,The Killer Inside Me,,,15596927,,
138650100,Sea Rex 3D: Journey to a Prehistoric World,,,,,
138710100,Mademoiselle Chambon,,,,,
138740100,Wild Target,,,,,
138840100,Le Amiche,,,,,33696
138860100,Rush: Beyond the Lighted Stage,,,,,
138870100,Never Let Me Go,,195501,2728357,,650427
138880100,Conviction,,,9196500,,911191
138890100,The Next Three Days,,,35287815,,1568673
138900100,Madea's Big Happy Family,,,22197420,,2443172
138960100,The Adjustment Bureau,,369902,34258580,,2570691
138980100,Devil,,,5219339,,
138990100,Skyline,,,12490876,,1392472
139000100,Take Me Home Tonight,,,3713208,,1023091
139010100,Limitless,,15619005,45043816,,6035469
139020100,Sanctum,,,5399776,,795142
139030100,Paul,,424296,30495819,,2741696
139040100,Great Directors,,,,,
139050100,Easy A,,5524197,38532528,,3239431
139070100,Conan the Barbarian,,1740,14881527,,2110507
139080100,Jean-Michel Basquiat: The Radiant Child,,,,,
139110100,Kynodontas,,,,,
139270100,African Cats,,,,,
139350100,Suck,,,,,
139410100,La Soga,,,,,
139440100,Howl,,550625,,,
139510100,L'illusionniste,,,,,
139520100,Another Year,,,,,
139540100,My Soul to Take,,,5746892,,696872
139560100,Doctor Seuss' The Lorax,,15359484,28135495,,18715086
139580100,Immortals,,,24201958,,5485895
139590100,The Change-Up,,304176,22618814,,2543937
139600100,Fast Five,,7324434,25307848,,9519693
139610100,Bridesmaids,0,40504982,37404691,,13544003
139620100,The Thing,,,11677421,,1766021
139640100,The Girl with the Dragon Tattoo,,5090760,31017912,,5850925
139650100,Enter the Void,,,,,
139660100,Carlos,,,,,
139680100,Valhalla Rising,,,,,
139720100,Cedar Rapids,,637458,4411891,,340313
139770100,Vampires Suck,,,10135988,,785700
139790100,Machete,,,15319184,,2094519
139820100,The Virginity Hit,,,,,
139860100,Monsters University,,63000014,30163255,19000000,32233054
139870100,The Arbor,,,,,
139920100,Who is Harry Nilsson (and Why is Everybody Talkin' About Him)?,,,,,
139980100,"The Twilight Saga: Breaking Dawn, Part 1",,4168206,23911085,,18924684
139990100,"The Twilight Saga: Breaking Dawn, Part 2",,59545926,37676785,,13108616
140030100,Monsters,,26485,,,
140040100,Catfish,,,62182,,
140050100,Red,,2855515,47731870,,8067040
140060100,Freakonomics,,58301,,,
140070100,The Warrior's Way,,,1919003,,958554
140080100,Stone,,,7671959,,658180
140090100,Frankenweenie,,6025344,6573157,,4315360
140100100,John Carter,,19173860,12725163,,7155231
140110100,Dolphin Tale,,11569464,12615942,,6619272
140150100,Elysium,,2784892,35353920,16977247,9291998
140180100,The Apparition,,15414,1492778,,
140210100,Edge of Tomorrow,18862325,67357968,,18767497,7529414
140240100,The Dark Knight Rises,0,574936224,20300583,,22184000
140260100,Bad Teacher,,2674287,39140948,,2319894
140270100,Beginners,,,,,
140280100,Bel Ami,,,,,
140300100,Bridget Jones’s Baby,3246275,17033530,,8603498,2478159
140330100,Black Swan,,2276160,40258688,,3730010
140350100,"Big Mommas: Like Father, Like Son",,,6347659,,732892
140380100,Black Panther,16867732,438169596,,,
140440100,Beautiful Boy,,,,,
140470100,127 Hours,,913410,14439241,,1521646
140490100,Bunyan & Babe,,41403,,25000,4830
140530100,One Day,,,2915639,,
140540100,One for the Money,,,17517898,,1342856
140550100,Rise of the Planet of the Apes,,49097466,25341867,,10680235
140560100,Celeste and Jesse Forever,,297783,2976193,,
140580100,21 Jump Street,0,84850243,48324730,,8540969
140600100,2 Days in New York,,,,,
140610100,Casa de mi Padre,,,6296039,,645200
140620100,30 Minutes or Less,,,17109488,,1834785
140650100,The Three Musketeers,,,12532383,,1671681
140660100,The Three Stooges,,162188,20358555,,3989123
140680100,47 Ronin,,11180143,27566023,10860997,6504222
140710100,The 5th Quarter,,,3024886,,
140720100,The Five-Year Engagement,,,20553922,,1351085
140750100,Anchorman 2: The Legend Continues,,18926740,42255816,19000000,5708705
140790100,Abduction,,,17035102,,1369167
140810100,Being Flynn,,,,,
140860100,The Age of Adaline,17008921,68492256,,12120997,5892934
140960100,The Big Year,,173515,8823020,,1340593
140980100,Scream 4,,,21779964,,1247626
141030100,From Prada to Nada,,,4701824,,
141070100,Hitchcock,,,5431007,,
141130100,Abraham Lincoln: Vampire Hunter,,,10674806,,2769794
141170100,Dallas Buyers Club,,29737116,49001944,9390998,3362489
141190100,American Pastoral,,195786,,428477,
141220100,Anonymous,,,,,
141230100,Answers to Nothing,,,,,
141280100,Cìkè Niè Yinniáng,,5000578,,498127,132726
141290100,A Single Shot,,,,25000,
141310100,Arthur,,,29118066,,1163271
141370100,Baby Driver,12006726,268430170,,18767497,8870760
141380100,The Beaver,,,2685569,,
141400100,Biutiful,,,1149943,,598667
141410100,Blended,29032115,116140024,,12120997,7781115
141430100,Blue Valentine,,19611,7238169,,799929
141440100,Boulevard,1647905,1697787,,99343,347587
141460100,Dark Shadows,,,15357853,,3726756
141540100,The Descendants,,1081960,21426936,,3406227
141550100,Bringing Up Bobby,,,,,
141590100,Butter,,,,,
141680100,House at the End of the Street,,,9794583,,1760000
141700100,Ceremony,,,,,
141710100,Chef,5256220,26961216,,10860997,3162199
141720100,On Chesil Beach,,273876,,,
141730100,CHiPS,13591512,53825690,,7728498,6060167
141800100,Central Intelligence,26820518,280791120,,19000000,8688549
141810100,Stoker,,98154,2521125,1574999,
141840100,Cemetery Junction,,,,,
141850100,Cloud Atlas,,2510520,26271568,,3974131
141870100,Colombiana,,47544,19731555,,2275696
141880100,Wrath of the Titans,,,15696779,,5553251
141940100,The Conspirator,,,9910674,,831117
142000100,The Company Men,,158636,4979146,,605674
142020100,Contagion,,3107790,18011778,,2682374
142030100,Thin Ice,,,580221,,
142040100,Coriolanus,,,,,653538
142100100,The Company You Keep,,,7284018,5428498,
142150100,"Crazy, Stupid, Love",,42448263,20909031,,4297752
142160100,Cosmopolis,,,339341,,
142190100,Dream House,,,11824146,,783568
142200100,Soul Surfer,,10252116,40827561,,3681657
142270100,Soul Kitchen,,,,,
142280100,The Tourist,,,51305086,,2879339
142320100,The Danish Girl,899136,2890714,,6678498,687328
142340100,Daydream Nation,,,,,
142370100,Dylan Dog: Dead of Night,,,1941628,,183428
142380100,Deadpool,25228289,866361944,,19000000,52715145
142420100,Daddy's Home,2628008,310590,,,
142430100,A Good Day to Die Hard,,5415130,26253945,14745997,7934396
142450100,Jumping the Broom,,,19719954,,1602203
142490100,The Rite,,13509,11952973,,1136310
142510100,Genius Within: The Inner Life of Glenn Gould,,,,,
142540100,Midnight in Paris,,798051,5154019,,3200439
142550100,High School,,,,,
142570100,Detachment,,,,,
142620100,Ghostbusters,13918555,92071317,,19000000,17259855
142640100,The Secret Life of Walter Mitty,0,145677840,26303525,14745997,6164973
142670100,Mad Max: Fury Road,15150158,133862380,,19000000,32441859
142690100,Middle of Nowhere,,294587,,,
142700100,X-Men: First Class,,11367314,21791477,,10372475
142710100,What's Your Number?,,2641247,9871658,,1035076
142720100,Inside Job,,141599,,,719238
142760100,El Hombre que mato a Don Quijote,,,,,
142830100,Hatchet II,,,,,
142870100,Milh Hadha al-Bahr,,,,,
142920100,Legends of Oz: Dorothy’s Return,2512173,846384,,5428498,717464
142930100,The Last Movie Star,,121425,,,
142940100,The Double,,2195250,3323658,,401383
142980100,Dracula Untold,15892457,36208380,,14745997,8237240
143000100,Drive,,4071654,30446953,,3712114
143010100,The Darkest Hour,,,17710934,,1794043
143020100,Dark Tide,,,4072400,,483443
143060100,Dirty Girl,,,,,
143070100,Drive Angry,,,24076074,,1444733
143130100,On the Road,,,,567652,450245
143160100,Win Win,,74146,4580310,,
143190100,The Host,,,19113276,9390998,3287303
143210100,Man on a Ledge,,,19967259,,1407256
143220100,The Son of No One,,,1970006,,302679
143270100,Zoolander 2,7003496,,,9390998,1680618
143300100,Kill Your Darlings,,784912,1758580,1574999,
143400100,Escape Plan,,22002097,46205885,9390998,5023926
143410100,Young Adult,,285719,15699969,,583353
143420100,Hysteria,,,,,
143440100,Meek's Cutoff,,50112,,,
143450100,Total Recall,,,18417526,,4484868
143470100,My Week with Marilyn,,,8189745,,1191705
143480100,Reign of Assassins,,1318354,,9426515,
143490100,The Man with the Iron Fists,,,13185498,,1997141
143500100,The Wolf of Wall Street,0,541768851,62248478,18767497,12724094
143540100,Snabba Cash,,,132918,,
143560100,Like Crazy,,374727,4913606,,
143580100,Maleficent,22563551,124967999,,19000000,24798701
143590100,The Woman in Black,,,16667945,,2199471
143600100,Trespass,,,10696631,,341288
143610100,How to Train Your Dragon 2,8637251,36697525,,19000000,21120820
143620100,Insidious,,1875524,23497067,,2855620
143640100,War Horse,,,24062493,,7689457
143650100,Premium Rush,,,8411144,,227289
143660100,Friends with Benefits,,10769121,22075072,,4343622
143670100,Fright Night,,1584894,7395750,,1620846
143680100,I am Number Four,,120590,31980631,,2854604
143690100,Winter in Wartime,,,,,
143710100,Tiny Furniture,,,,,
