movie_odid,display_name,production_company,billing,financing,in association with,production
13140100,Lady in the Water,Blinding Edge Pictures,3,,,1
13190100,Drag Me To Hell,Mandate Pictures,,,,
13210100,Spanglish,Columbia Pictures,1,,,
13230100,Secondhand Lions,David Kirschner,1,,1,1
13230100,Secondhand Lions,Digital Domain,2,,1,1
13260100,Donnie Brasco,Mandalay Entertainment,1,,,1
13280100,Nights in Rodanthe,"Carolina Pictures, LLC. ",1,,,1
13320100,Exorcist: The Beginning,Morgan Creek Productions,1,,,
13340100,Aliens vs. Predator - Requiem,Davis Entertainment,,,,
13390100,Ronin,United Artists,1,,,1
13410100,High Crimes,Twentieth Century Fox,1,1,,0
13410100,High Crimes,Regency Enterprises,2,1,,0
13410100,High Crimes,New Regency,3,,,1
13520100,The Peacemaker,Walter Parkes,1,,,1
13580100,Orange County,MTV Films,1,,,1
13580100,Orange County,Scott Rudin Productions,2,,,1
13590100,John Tucker Must Die,Regency Enterprises,1,1,,
13640100,The Siege,Lynda Obst Productions,1,,,1
13650100,Windtalkers,Metro-Goldwyn-Mayer Pictures,1,,,
13680100,House on Haunted Hill,Dark Castle Entertainment,1,,,1
13690100,About a Boy,Working Title Films,,,,
13690100,About a Boy,Tribeca Film,,,,
13800100,Stranger Than Fiction,Columbia Pictures,1,,,1
13800100,Stranger Than Fiction,Mandate Pictures,2,,,1
13820100,The Water Horse: Legend of the Deep,Revolution Studios,1,1,,
13820100,The Water Horse: Legend of the Deep,Walden Media,2,1,,
13820100,The Water Horse: Legend of the Deep,Beacon Pictures,3,1,,
13820100,The Water Horse: Legend of the Deep,Ecosse Films,4,,,1
13850100,Heartbreakers,Metro-Goldwyn-Mayer Pictures,1,,,1
13900100,Bridget Jones: The Edge Of Reason,Working Title Films,,,,
13910100,Catwoman,Village Roadshow Productions,,,,
13980100,Righteous Kill,Millennium Films,1,,,1
14120100,Epic Movie,Regency Enterprises,1,1,,
14120100,Epic Movie,New Regency,2,,,1
14120100,Epic Movie,Paul Schiff Productions,3,,,1
14160100,Jackie Brown,"Mighty, Mighty Afrodite Productions, Inc.",1,,,1
14190100,Resident Evil,Constantin Film,1,,,1
14190100,Resident Evil,New Legacy Film,2,,,1
14190100,Resident Evil,Davis Films,3,,,1
14190100,Resident Evil,Impact Pictures,4,,1,1
14220100,Little Nicky,Happy Madison,1,,,
14220100,Little Nicky,RSC Media,2,,,
14240100,Body of Lies,Warner Bros.,1,,,
14290100,Lakeview Terrace,Overbrook Entertainment,1,,,
14320100,Pitch Black,Interscope Communications,1,,,1
14320100,Pitch Black,PolyGram Filmed Entertainment,2,,,1
14420100,Fracture,Castle Rock Entertainment,,,,
14430100,Romeo and Juliet (1968),Paramount Pictures,1,1,,
14430100,Romeo and Juliet (1968),BHE Films,2,,,1
14430100,Romeo and Juliet (1968),Verona Produzione,3,,,1
14500100,Stardust,Matthew Vaughn,1,,,1
14500100,Stardust,Lorenzo di Bonaventura,2,,,1
14600100,Pride & Prejudice,Focus Features,1,1,,
14600100,Pride & Prejudice,StudioCanal,2,1,1,
14600100,Pride & Prejudice,Working Title Films,3,,,1
14620100,Evolution,DreamWorks Pictures,,,,
14650100,Meet the Spartans,Regency Enterprises,1,1,,
14650100,Meet the Spartans,New Regency,2,,,1
14650100,Meet the Spartans,3 In The Box Productions,3,,,1
14670100,Cruel Intentions,Columbia Pictures,1,1,,
14670100,Cruel Intentions,Original Film,2,,1,1
14670100,Cruel Intentions,Newmarket Films,3,1,1,
14730100,Treasure Planet,Walt Disney Pictures,1,,,1
14790100,The Terminator,Hemdale,1,,,1
14790100,The Terminator,Pacific Western,2,,,1
14830100,Showtime,Street Sweeper Productions,1,,,1
14840100,Seven Years in Tibet,Mandalay Entertainment,1,,,1
14840100,Seven Years in Tibet,Vanguard Films,3,,,1
14840100,Seven Years in Tibet,Reperage,2,,,1
14840100,Seven Years in Tibet,Applecross,4,,,1
14850100,40 Days and 40 Nights,Working Title Films,,,,
14890100,The Brothers Grimm,Mosaic Media,1,,,1
14890100,The Brothers Grimm,Daniel Bobker,2,,,1
14900100,Not Another Teen Movie,Columbia Pictures,1,,,1
14910100,Bedazzled,20th Century Fox,1,1,,
14910100,Bedazzled,Regency Enterprises,2,1,,
14980100,The Secret Life of Bees,Overbrook Entertainment,1,,,1
14980100,The Secret Life of Bees,Donners’ Company,2,,,1
14990100,Sky Captain and the World of Tomorrow,Brooklyn Films II,1,,,1
14990100,Sky Captain and the World of Tomorrow,Riff Raff,2,,,
14990100,Sky Captain and the World of Tomorrow,Blue Flower,3,,,
14990100,Sky Captain and the World of Tomorrow,Filmauro,4,,,
15000100,Autumn in New York,Lakeshore Entertainment,,,,
15070100,Out of Sight,Jersey Films,1,,,
15110100,Lawrence of Arabia,Columbia Pictures,1,1,,
15110100,Lawrence of Arabia,Horizon Pictures,2,,,1
15120100,Raising Helen,Touchstone Pictures,1,1,,
15120100,Raising Helen,Beacon Pictures,2,1,0,
15120100,Raising Helen,Mandeville Films,3,,,1
15120100,Raising Helen,Ashok Amritraj,4,,,1
15160100,The Wild,Walt Disney Pictures,1,,,
15200100,Crossroads,MTV Films,,,,
15250100,Sphere,Warner Bros.,1,,,1
15280100,Fight Club,Regency Enterprises,2,1,,
15280100,Fight Club,Fox 2000 Pictures,1,1,,
15280100,Fight Club,Linson Films,3,,,1
15290100,State of Play,Universal Pictures,1,,,1
15290100,State of Play,Working Title Films,2,,,1
15310100,Clockstoppers,Nickelodeon Films,,,,
15330100,Matchstick Men,Warner Bros.,1,,,1
15350100,My Favorite Martian,Walt Disney Pictures,1,1,,
15350100,My Favorite Martian,Jerry Leider Company,2,,,1
15350100,My Favorite Martian,Robert Shapiro,3,,,1
15360100,Notorious,Fox Searchlight Pictures,1,1,,
15360100,Notorious,Voletta Wallace Films,2,,,1
15360100,Notorious,By Storm Films,3,,,1
15360100,Notorious,State Street Pictures,4,,,1
15360100,Notorious,Bad Boy Films,5,,,1
15390100,The Brave One,Village Roadshow Productions,1,,1,1
15390100,The Brave One,Silver Pictures,2,,1,1
15390100,The Brave One,Warner Bros.,3,1,,1
15400100,The Heartbreak Kid,Radar Pictures,1,,,1
15400100,The Heartbreak Kid,Davis Entertainment,2,,,1
15400100,The Heartbreak Kid,Conundrum Entertainment,3,,,1
