Genre,Sequel N,Non-Sequel N,Sequel Mean,Non-Sequel Mean,Mean Diff,p-value (Welch),Cohen's d
Romantic,0,0,,,,,
Comedy,118,2037,23302620.330508474,9001958.124693176,14300662.205815298,0.0011745322359770947,0.3728960287312095
Drama,51,4787,17130025.274509802,5466829.1368289115,11663196.137680892,0.014154128967408409,0.43222520135949394
Documentary,20,2292,3093433.8,1212733.6016579408,1880700.198342059,0.4890491411175736,0.18810036332833602
Horror,84,633,40439219.96428572,12095008.597156398,28344211.36712932,0.00021067445581908367,0.5296303200471576
Thriller/Suspense,23,1081,19557661.56521739,7077712.489361702,12479949.075855687,0.07858707732156536,0.4621036784257852
